Time (s),X (µT),Y (µT),Z (µT),Datetime
0.01598899998,1.725585938,-32.5969696,-14.03943253,2024-06-14 12:06:13.015989
0.05628499994,1.918121338,-32.21594238,-15.01280785,2024-06-14 12:06:13.056285
0.09658000001,1.582458496,-32.23147583,-15.4416256,2024-06-14 12:06:13.096580
0.136876,1.104614258,-32.00653076,-15.35149002,2024-06-14 12:06:13.136876
0.177171,1.144348145,-31.67356873,-15.67104721,2024-06-14 12:06:13.177171
0.217466,0.7933959961,-31.45307922,-16.07167244,2024-06-14 12:06:13.217466
0.257762,0.4080810547,-31.39549255,-16.18881226,2024-06-14 12:06:13.257762
0.298057,-0.02105712891,-31.15995026,-16.76421928,2024-06-14 12:06:13.298057
0.338353,-0.2147827148,-30.26211548,-17.99905968,2024-06-14 12:06:13.338353
0.378648,-0.2520751953,-29.59751129,-18.92837524,2024-06-14 12:06:13.378648
0.418944,-0.4161376953,-28.71015167,-20.43257904,2024-06-14 12:06:13.418944
0.459239,-2.641448975,-26.34102631,-23.01752281,2024-06-14 12:06:13.459239
0.4995339999,-7.377563477,-22.47814941,-25.07267761,2024-06-14 12:06:13.499534
0.53983,-9.634643555,-21.30216217,-25.22778702,2024-06-14 12:06:13.539830
0.580125,-11.61291504,-21.75249481,-24.10300827,2024-06-14 12:06:13.580125
0.6204209999,-17.65155029,-22.74786377,-20.02220917,2024-06-14 12:06:13.620421
0.660716,-23.35546875,-24.19933319,-12.54228401,2024-06-14 12:06:13.660716
0.701012,-27.24002075,-23.22727966,-6.655469894,2024-06-14 12:06:13.701012
0.741307,-30.81596375,-19.9253006,-1.882335663,2024-06-14 12:06:13.741307
0.781603,-33.83268738,-14.62347412,2.539812088,2024-06-14 12:06:13.781603
0.821898,-34.2903595,-12.19867706,5.81046629,2024-06-14 12:06:13.821898
0.862194,-24.3740387,-12.40045929,18.60112,2024-06-14 12:06:13.862194
0.902489,-27.61154175,-7.196113586,3.969523907,2024-06-14 12:06:13.902489
0.942785,-32.98719788,0.04328918457,-3.290685654,2024-06-14 12:06:13.942785
0.98308,-31.76730347,2.749168396,-8.915664673,2024-06-14 12:06:13.983080
1.023376,-30.32739258,2.899238586,-11.35582352,2024-06-14 12:06:14.023376
1.063672,-29.64675903,3.712661743,-9.070707321,2024-06-14 12:06:14.063672
1.103967,-28.46723938,5.765930176,-8.440271378,2024-06-14 12:06:14.103967
1.144263,-27.4303894,9.955318451,-8.981754303,2024-06-14 12:06:14.144263
1.184558,-26.08097839,13.09810638,-10.11645699,2024-06-14 12:06:14.184558
1.224854,-24.88204956,16.36763763,-11.96138382,2024-06-14 12:06:14.224854
1.265149,-25.22494507,18.63378906,-10.80139923,2024-06-14 12:06:14.265149
1.305445,-25.35466003,20.0722847,-11.40343475,2024-06-14 12:06:14.305445
1.345741,-25.03878784,20.59301758,-11.63027,2024-06-14 12:06:14.345741
1.386036,-25.93028259,20.09329605,-12.37144089,2024-06-14 12:06:14.386036
1.426332,-26.60424805,19.13939285,-12.96928596,2024-06-14 12:06:14.426332
1.466628,-26.73764038,18.63552475,-13.14205551,2024-06-14 12:06:14.466628
1.506923,-27.40519714,17.39270401,-13.63668251,2024-06-14 12:06:14.506923
1.547219,-28.13624573,16.06561279,-13.51928711,2024-06-14 12:06:14.547219
1.587515,-28.6330719,14.33107758,-14.03967476,2024-06-14 12:06:14.587515
1.62781,-29.68186951,11.61669159,-13.54355812,2024-06-14 12:06:14.627810
1.668106,-31.60643005,8.01335907,-11.5307045,2024-06-14 12:06:14.668106
1.708402,-33.27694702,4.468818665,-9.301326752,2024-06-14 12:06:14.708402
1.748697,-33.48413086,2.991195679,-9.37203598,2024-06-14 12:06:14.748697
1.788993,-33.65643311,1.74256897,-8.405649185,2024-06-14 12:06:14.788993
1.829289,-33.58198547,1.060066223,-8.428146362,2024-06-14 12:06:14.829289
1.869584,-34.06434631,-0.2565155029,-7.387096405,2024-06-14 12:06:14.869584
1.90988,-34.68173218,-1.625709534,-6.498901367,2024-06-14 12:06:14.909880
1.950176,-34.77078247,-1.924072266,-5.125893593,2024-06-14 12:06:14.950176
1.990472,-35.30706787,-1.834075928,-1.725765228,2024-06-14 12:06:14.990472
2.030767,-36.02359009,-1.689781189,1.713760376,2024-06-14 12:06:15.030767
2.071063,-36.03016663,-0.7663574219,4.895949841,2024-06-14 12:06:15.071063
2.111359,-35.72190857,0.4036331177,8.667257309,2024-06-14 12:06:15.111359
2.151655,-35.12677002,1.140594482,10.76651001,2024-06-14 12:06:15.151655
2.19195,-34.3578186,0.003723144531,13.62586403,2024-06-14 12:06:15.191950
2.232246,-33.28993225,-0.5619125366,17.22554779,2024-06-14 12:06:15.232246
2.272542,-30.99168396,0.3197860718,22.14743233,2024-06-14 12:06:15.272542
2.312838,-31.05831909,1.387016296,23.23015213,2024-06-14 12:06:15.312838
2.353134,-31.42153931,3.269142151,23.0778904,2024-06-14 12:06:15.353134
2.393429,-32.33625793,5.417663574,21.96341133,2024-06-14 12:06:15.393429
2.433725,-32.76243591,7.428070068,21.00878906,2024-06-14 12:06:15.433725
2.474021,-33.1787262,8.993602753,19.70007896,2024-06-14 12:06:15.474021
2.514317,-33.50083923,9.268123627,18.91465759,2024-06-14 12:06:15.514317
2.554613,-34.20024109,9.130413055,17.3996582,2024-06-14 12:06:15.554613
2.594908,-34.37466431,9.257133484,17.88502121,2024-06-14 12:06:15.594908
2.635204,-34.84440613,10.67892456,16.64603043,2024-06-14 12:06:15.635204
2.6755,-34.96510315,14.12094879,15.0111208,2024-06-14 12:06:15.675500
2.715796667,-33.75027466,18.73016357,15.27798176,2024-06-14 12:06:15.715797
2.756092667,-33.61517334,20.24242401,13.78907776,2024-06-14 12:06:15.756093
2.796388667,-33.76976013,21.16875458,11.77328491,2024-06-14 12:06:15.796389
2.836684667,-35.02508545,20.13751602,11.84629631,2024-06-14 12:06:15.836685
2.876980667,-35.75030518,19.00318527,12.33056259,2024-06-14 12:06:15.876981
2.917275667,-35.35876465,20.38768768,13.78608131,2024-06-14 12:06:15.917276
2.957571667,-36.12852478,20.25723267,14.64473343,2024-06-14 12:06:15.957572
2.997867667,-37.81297302,19.17528152,15.26906872,2024-06-14 12:06:15.997868
3.038163667,-37.51119995,20.05444717,20.7274971,2024-06-14 12:06:16.038164
3.078459667,-37.32344055,21.20613861,20.45534515,2024-06-14 12:06:16.078460
3.118755667,-36.68247986,21.32334518,20.45140457,2024-06-14 12:06:16.118756
3.159051667,-36.15956116,22.54652405,21.01654053,2024-06-14 12:06:16.159052
3.199347667,-35.15808105,24.17610168,20.8913765,2024-06-14 12:06:16.199348
3.239643667,-34.14433289,24.77786636,20.95289612,2024-06-14 12:06:16.239644
3.279939667,-34.70330811,26.74979782,20.48152542,2024-06-14 12:06:16.279940
3.320235667,-35.16067505,29.50773621,19.48023224,2024-06-14 12:06:16.320236
3.360531667,-34.48506165,33.25130081,17.48516464,2024-06-14 12:06:16.360532
3.400827667,-34.33433533,33.14031601,19.17782784,2024-06-14 12:06:16.400828
3.441123667,-35.78610229,33.01847458,18.86375809,2024-06-14 12:06:16.441124
3.481419667,-40.25860596,35.98283768,19.17013168,2024-06-14 12:06:16.481420
3.521715667,-42.11610413,36.18131256,25.51987457,2024-06-14 12:06:16.521716
3.562011667,-47.81018066,49.72361755,35.04532242,2024-06-14 12:06:16.562012
3.602307667,-77.13597107,124.8196716,68.67153931,2024-06-14 12:06:16.602308
3.642603667,-626.0522461,904.2142334,1425.682983,2024-06-14 12:06:16.642604
3.682899667,75.86044312,-793.9310303,-937.8484497,2024-06-14 12:06:16.682900
